time,temp
29,36.0435112395808
30,35.96974751509326
31,35.91764828443559
32,35.88765280648
33,35.877932365527535
34,35.88642489505113
35,35.91166387108845
36,35.95228822272307
37,36.01012748320958
38,36.0885193855404
39,36.188281606873815
40,36.310457828550064
41,36.45960481221364
42,36.64241666060823
43,36.867643638556515
44,37.1446189082516
45,37.47810594112407
46,37.869038597571056
47,38.31711617835288
48,38.81813118005303
49,39.36280564911411
50,39.93823503948135
51,40.528486326625995
52,41.11719635392577
53,41.692535321505375
54,42.24646540530604
55,42.77155534560761
56,43.263198996819476
57,43.72039760435099
58,44.14402313365256
59,44.53654924076809
60,44.89988650324872
61,45.231487780461734
62,45.52640168539165
63,45.78214609584971
64,45.99743080062724
65,46.17167804594548
66,46.306505062181955
67,46.40420171886967
68,46.468845956135624
69,46.508815141874884
70,46.5340131292128
71,46.551808902493825
72,46.567394355254336
73,46.583646943069525
74,46.60043318216556
75,46.616713819398825
76,46.63048177522062
77,46.63810354777947
78,46.636350205356436
79,46.62412726772849
80,46.60227003636435
81,46.573077013547895
82,46.54069838421232
83,46.5106814650246
84,46.4891952781444
85,46.482456946581436
86,46.495399366268614
87,46.53002686716884
88,46.58585090344147
89,46.66153513696245
90,46.753549712494184
91,46.8545809243906
92,46.954966866728604
93,47.04398350487171
94,47.111850884441075
95,47.15404076246255
96,47.170722219873696
97,47.16373523464314
98,47.140021516716274
99,47.11501932590007
100,47.1100252393811
101,47.149584033213536
102,47.2573577607487
103,47.447221861092906
104,47.72430763083101
105,48.09121325911609
106,48.54194577010084
107,49.056836488241835
108,49.60651803780083
109,50.15436485878275
110,50.662968012558316
111,51.10805382143091
112,51.47549273889982
113,51.750431860819454
114,51.9248371452707
115,52.00234966782006
116,51.99484257498124
117,51.924959484975254
118,51.8190941302109
119,51.69183162954136
120,51.55220138134335
121,51.41665860966161
122,51.30270683820068
123,51.22683793949026
124,51.20437835486816
125,51.23866268496158
126,51.3261073519294
127,51.46848100841341
128,51.66436931157253
129,51.8998391029784
130,52.152551370658784
131,52.39145022970681
132,52.582244316339974
133,52.70424282256542
134,52.74807913124479
135,52.707880926230615
136,52.58959025122749
137,52.41396507334996
138,52.21356683657188
139,52.03355694118497
140,51.92226561161305
141,51.913381639274206
142,52.02699535087629
143,52.2757958089907
144,52.658568566156006
145,53.16129850873377
146,53.759038095893885
147,54.41273276989993
148,55.079347389481136
149,55.72772179222863
150,56.336926852146945
151,56.89133216131553
152,57.384140676971306
